seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2272, West, 3C, 3C, true, 2, 0
2273, West, 3C, 3C, true, 5, 0
2274, West, 3C, 3C, true, 4, 0
2275, West, 2C, 2C, true, 1, 0
2276, West, 3C, 3C, true, 3, 0
2277, West, 2C, 2C, true, 1, 0
2278, West, 2C, 2C, true, 1, 0
2279, West, 8C, 8C, true, 1, 0
2280, West, 4C, 4C, true, 5, 0
2281, West, JC, JC, true, 1, 0
2282, West, KC, KC, true, 2, 0
2283, West, 6C, 6C, true, 4, 1
2284, West, 2C, 2C, true, 1, 0
2285, West, 5C, 5C, true, 4, 1
2286, West, JC, JC, true, 2, 0
2287, West, 3C, 3C, true, 4, 0
2288, West, KC, KC, true, 1, 0
2289, West, 7C, 7C, true, 3, 0
2290, West, JC, JC, true, 2, 0
2291, West, 3C, 3C, true, 5, 0
2292, West, 3C, 3C, true, 3, 0
2293, West, QC, QC, true, 2, 0
2294, West, 8C, 8C, true, 4, 0
2295, West, 4C, 4C, true, 4, 0
2296, West, 2C, 2C, true, 1, 0
2297, West, 8C, 8C, true, 2, 0
2298, West, 5C, 5C, true, 3, 0
2299, West, 5C, 5C, true, 5, 1
2300, West, 4C, 4C, true, 4, 1
2301, West, 3C, 3C, true, 2, 0
2302, West, AC, AC, true, 1, 0
2303, West, 3C, 3C, true, 4, 0
2304, West, 3C, 3C, true, 2, 0
2305, West, 2C, 2C, true, 1, 0
2306, West, 2C, 2C, true, 1, 0
2307, West, 2C, 2C, true, 1, 0
2308, West, 3C, 3C, true, 3, 0
2309, West, 3C, 3C, true, 5, 0
2310, West, JC, JC, true, 1, 0
2311, West, 2C, 2C, true, 1, 0
2312, West, 4C, 4C, true, 3, 0
2313, West, 8C, 8C, true, 2, 0
2314, West, 7C, 7C, true, 2, 0
2315, West, 3C, 3C, true, 5, 0
2316, West, 6C, 6C, true, 3, 0
