seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2086, North, 10S, JD, false, 6, 0
2087, North, 6C, 6C, true, 4, 1
2088, North, 3C, 3C, true, 4, 0
2089, North, 2C, 2C, true, 1, 0
2090, North, 4C, 4C, true, 3, 0
2091, North, 4C, 4C, true, 1, 0
2092, North, 4C, 4C, true, 3, 0
2093, North, 2C, 2C, true, 1, 0
2094, North, 3C, 3C, true, 2, 0
2095, North, 2C, 2C, true, 1, 0
2096, North, 6C, 6C, true, 2, 0
2097, North, 3C, 3C, true, 5, 0
2098, North, 3C, 3C, true, 3, 0
2099, North, 6C, 6C, true, 3, 0
2100, North, 4C, 4C, true, 2, 0
2101, North, 4C, 4C, true, 3, 0
2102, North, 9C, 9C, true, 3, 0
2103, North, 3C, 3C, true, 3, 0
2104, North, 4C, 4C, true, 2, 0
2105, North, 2C, 2C, true, 1, 0
2106, North, 2C, 2C, true, 1, 0
2107, North, 3C, 3C, true, 5, 0
2108, North, 2C, 2C, true, 1, 0
2109, North, 4C, 4C, true, 5, 1
2110, North, 7C, 7C, true, 4, 0
2111, North, 4C, 4C, true, 5, 0
2112, North, 2C, 2C, true, 1, 0
2113, North, 6C, 6C, true, 5, 1
2114, North, 4C, 4C, true, 5, 0
2115, North, 4C, 4C, true, 1, 0
2116, North, 6C, 6C, true, 1, 0
2117, North, 5C, 5C, true, 5, 0
2118, North, 2C, 2C, true, 1, 0
2119, North, 10C, 10C, true, 3, 0
2120, North, 2C, 2C, true, 1, 0
2121, North, QC, QC, true, 1, 0
2122, North, 6C, 6C, true, 3, 0
2123, North, 4C, 4C, true, 4, 0
2124, North, 2C, 2C, true, 1, 0
2125, North, KC, KC, true, 1, 0
2126, North, 2C, 2C, true, 1, 0
2127, North, 2C, 2C, true, 1, 0
2128, North, 7C, 7C, true, 3, 0
2129, North, 4C, 4C, true, 5, 0
2130, North, 9C, 9C, true, 2, 0
2131, North, 8C, 8C, true, 4, 1
2132, North, 5C, 5C, true, 3, 0
2133, North, 4C, 4C, true, 4, 0
2134, North, 2C, 2C, true, 1, 0
2135, North, 6C, 6C, true, 3, 0
2136, North, 10C, 10C, true, 2, 0
2137, North, 4C, 4C, true, 4, 0
2138, North, 5C, 5C, true, 2, 0
2139, North, 2C, 2C, true, 1, 0
2140, North, 4C, 4C, true, 2, 0
2141, North, 4C, 4C, true, 3, 0
2142, North, 5C, 5C, true, 5, 1
2143, North, 4C, 4C, true, 4, 0
2144, North, 4C, 4C, true, 4, 0
2145, North, 7C, 7C, true, 4, 1
2146, North, 7C, 7C, true, 3, 0
2147, North, 2C, 2C, true, 1, 0
2148, North, 2C, 2C, true, 1, 0
2149, North, 7C, 7C, true, 1, 0
2150, North, 3C, 3C, true, 5, 0
2151, North, 7C, 7C, true, 4, 1
2152, North, 8C, 8C, true, 3, 0
2153, North, 5C, 5C, true, 3, 0
2154, North, 6C, 6C, true, 3, 1
2155, North, 2C, 2C, true, 1, 0
2156, North, 8C, 8C, true, 5, 1
2157, North, JC, JC, true, 2, 0
2158, North, 4C, 4C, true, 3, 0
2159, North, 2C, 2C, true, 1, 0
2160, North, 2C, 2C, true, 1, 0
2161, North, 4C, 4C, true, 3, 0
2162, North, 9C, 9C, true, 3, 0
2163, North, 2C, 2C, true, 1, 0
2164, North, 7C, 7C, true, 4, 1
2165, North, 10C, 10C, true, 1, 0
2166, North, 2C, 2C, true, 1, 0
2167, North, 3C, 3C, true, 6, 1
2168, North, 4C, 4C, true, 6, 3
2169, North, AC, AC, true, 1, 0
2170, North, 2C, 2C, true, 1, 0
2171, North, 9C, 9C, true, 3, 0
2172, North, 9C, 9C, true, 2, 0
2173, North, 3C, 3C, true, 4, 0
2174, North, 5C, 5C, true, 2, 0
2175, North, 4C, 4C, true, 3, 0
2176, North, 6C, 6C, true, 3, 0
2177, North, 5C, 5C, true, 3, 0
2178, North, 6C, 6C, true, 3, 0
2179, North, 10C, 10C, true, 2, 0
2180, North, 5C, 5C, true, 1, 0
2181, North, 4C, 4C, true, 4, 0
2182, North, 7C, 7C, true, 2, 0
2183, North, 2C, 2C, true, 1, 0
2184, North, 3C, 3C, true, 5, 0
2185, North, 2C, 2C, true, 1, 0
2186, North, 3C, 3C, true, 4, 0
2187, North, 2C, 2C, true, 1, 0
2188, North, 3C, 3C, true, 2, 0
2189, North, JC, JC, true, 3, 1
2190, North, 4C, 4C, true, 3, 0
2191, North, 6C, 6C, true, 4, 1
2192, North, 2C, 2C, true, 1, 0
2193, North, 10C, 10C, true, 4, 1
2194, North, 3C, 3C, true, 3, 0
2195, North, 7C, 7C, true, 4, 1
2196, North, 4C, 4C, true, 4, 0
2197, North, 4C, 4C, true, 5, 1
2198, North, 2C, 2C, true, 1, 0
2199, North, 2C, 2C, true, 1, 0
