seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2088, South, 2C, 2C, true, 1, 0
2089, South, 3C, 3C, true, 3, 0
2090, South, 5C, 5C, true, 5, 1
2091, South, 2C, 2C, true, 1, 0
2092, South, 2C, 2C, true, 1, 0
2093, South, 3C, 3C, true, 4, 0
2094, South, 5C, 5C, true, 3, 0
2095, South, 3C, 3C, true, 2, 0
2096, South, 2C, 2C, true, 1, 0
2097, South, 4C, 4C, true, 3, 0
2098, South, 6C, 6C, true, 4, 1
2099, South, 4C, 4C, true, 3, 0
2100, South, 6C, 6C, true, 4, 0
2101, South, 2C, 2C, true, 1, 0
2102, South, 3C, 3C, true, 3, 0
2103, South, 2C, 2C, true, 1, 0
2104, South, 7C, 7C, true, 2, 0
2105, South, 10C, 10C, true, 3, 0
2106, South, 4C, 4C, true, 3, 0
2107, South, 2C, 2C, true, 1, 0
2108, South, 3C, 3C, true, 3, 0
2109, South, 3C, 3C, true, 4, 0
2110, South, 2C, 2C, true, 1, 0
2111, South, 3C, 3C, true, 3, 0
2112, South, 6C, 6C, true, 2, 0
2113, South, 4C, 4C, true, 1, 0
2114, South, 7C, 7C, true, 2, 0
2115, South, 5C, 5C, true, 4, 1
2116, South, 3C, 3C, true, 3, 0
2117, South, 2C, 2C, true, 1, 0
2118, South, 5C, 5C, true, 2, 0
2119, South, 2C, 2C, true, 1, 0
2120, South, 4C, 4C, true, 3, 0
2121, South, 5C, 5C, true, 4, 0
2122, South, 2C, 2C, true, 1, 0
2123, South, 6C, 6C, true, 3, 1
2124, South, 3C, 3C, true, 1, 0
2125, South, 2C, 2C, true, 1, 0
2126, South, 4C, 4C, true, 1, 0
2127, South, QC, QC, true, 2, 0
2128, South, 3C, 3C, true, 3, 0
2129, South, JC, JC, true, 1, 0
2130, South, 2C, 2C, true, 1, 0
2131, South, 4C, 4C, true, 3, 0
2132, South, 2C, 2C, true, 1, 0
2133, South, 2C, 2C, true, 1, 0
2134, South, 5C, 5C, true, 2, 0
2135, South, 2C, 2C, true, 1, 0
2136, South, 3C, 3C, true, 6, 0
2137, South, 6C, 6C, true, 2, 0
2138, South, 2C, 2C, true, 1, 0
2139, South, 3C, 3C, true, 6, 0
2140, South, 2C, 2C, true, 1, 0
2141, South, 8C, 8C, true, 2, 0
2142, South, 4C, 4C, true, 3, 0
2143, South, 9C, 9C, true, 3, 0
2144, South, 5C, 5C, true, 2, 0
2145, South, 2C, 2C, true, 1, 0
2146, South, 4C, 4C, true, 3, 0
2147, South, 6C, 6C, true, 3, 0
2148, South, 3C, 3C, true, 5, 0
2149, South, 6C, 6C, true, 2, 0
2150, South, 4C, 8C, false, 4, 1
2151, South, 3C, 3C, true, 2, 0
2152, South, 3C, 3C, true, 4, 0
2153, South, JC, JC, true, 1, 0
2154, South, 2C, 2C, true, 1, 0
2155, South, 5C, 5C, true, 4, 0
2156, South, 4C, 4C, true, 2, 0
2157, South, 5C, 5C, true, 4, 0
2158, South, 8C, 8C, true, 2, 0
2159, South, 6C, 6C, true, 3, 0
2160, South, 4C, 4C, true, 2, 0
2161, South, 7C, 7C, true, 3, 0
2162, South, 2C, 2C, true, 1, 0
2163, South, 5C, 5C, true, 1, 0
2164, South, 5C, 5C, true, 3, 0
2165, South, 2C, 2C, true, 1, 0
2166, South, 3C, 3C, true, 4, 1
2167, South, 2C, 2C, true, 1, 0
2168, South, 3C, 3C, true, 2, 0
2169, South, 3C, 3C, true, 5, 0
2170, South, 5C, 5C, true, 2, 0
2171, South, 2C, 2C, true, 1, 0
2172, South, 6C, 6C, true, 4, 0
2173, South, 7C, 7C, true, 2, 0
2174, South, 3C, 3C, true, 5, 1
2175, South, 2C, 2C, true, 1, 0
2176, South, 2C, 2C, true, 1, 0
2177, South, 3C, 3C, true, 4, 0
2178, South, 10C, 10C, true, 3, 0
2179, South, 3C, 3C, true, 2, 0
2180, South, 2C, 2C, true, 1, 0
2181, South, 5C, 5C, true, 3, 0
2182, South, 2C, 2C, true, 1, 0
2183, South, 4C, 4C, true, 4, 0
2184, South, 8C, 8C, true, 3, 0
2185, South, 4C, 4C, true, 3, 0
2186, South, 2C, 2C, true, 1, 0
2187, South, QC, QC, true, 1, 0
2188, South, 9C, 9C, true, 2, 0
2189, South, 5C, 5C, true, 5, 0
2190, South, 10C, 10C, true, 2, 0
2191, South, 2C, 2C, true, 1, 0
2192, South, 4C, 4C, true, 2, 0
2193, South, 3C, 3C, true, 2, 0
2194, South, 5C, 5C, true, 4, 1
2195, South, 2C, 2C, true, 1, 0
2196, South, 10C, 10C, true, 2, 0
2197, South, 7C, 7C, true, 3, 0
2198, South, 3C, 3C, true, 4, 1
2199, South, 8C, 8C, true, 3, 0
2200, South, 2C, 2C, true, 1, 0
